"","pitch_type","release_speed","zone","stand","p_throws","description","type","bb_type","balls","strikes","on_3b","on_2b","on_1b","outs_when_up","pitch_number"
"23593","CU",75.8,5,"L","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"23594","SI",90.4,11,"L","L","ball","B",NA,0,1,NA,NA,NA,0,2
"23595","FF",94,6,"L","L","foul","S",NA,1,0,NA,NA,NA,2,2
"23596","FF",94.4,6,"L","R","foul","S",NA,0,0,NA,NA,NA,1,1
"23597","SI",91.4,14,"R","L","ball","B",NA,2,1,NA,NA,NA,2,4
"23598","SI",96,9,"L","L","swinging_strike","S",NA,1,0,NA,641432,643396,2,2
"23599","SI",93.4,12,"R","L","ball","B",NA,0,0,NA,NA,670032,0,1
"23600","CH",80.8,9,"R","L","hit_into_play","X","ground_ball",1,1,NA,NA,656669,1,3
"23601","SL",78.3,12,"R","R","swinging_strike","S",NA,0,1,669289,545341,666971,2,2
"23602","CH",84.6,14,"R","L","ball","B",NA,0,0,NA,NA,665862,0,1
"23603","CU",72.4,11,"L","R","ball","B",NA,0,0,444482,NA,NA,2,1
"23604","FF",94.3,14,"R","R","ball","B",NA,0,0,NA,608385,NA,1,1
"23605","SL",85.4,14,"R","R","swinging_strike","S",NA,1,1,NA,NA,NA,1,3
"23606","SL",83.3,7,"L","R","foul","S",NA,0,2,NA,NA,NA,1,3
"23607","FS",84.9,13,"L","R","ball","B",NA,0,1,NA,NA,NA,0,2
"23608","SI",98.1,2,"R","L","ball","B",NA,0,1,NA,NA,628450,2,2
"23609","SI",95.3,14,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"23610","FF",92.3,6,"R","L","called_strike","S",NA,0,0,NA,NA,NA,1,1
"23611","FF",94.4,6,"R","R","foul","S",NA,2,0,NA,666158,NA,2,3
"23612","FF",94.7,5,"R","L","foul","S",NA,3,2,NA,NA,NA,1,7
"23613","SI",96.8,8,"R","R","called_strike","S",NA,0,1,NA,NA,607043,2,2
"23614","FS",85.8,13,"L","R","ball","B",NA,0,0,NA,NA,649966,2,1
"23615","FF",89.8,12,"L","R","ball","B",NA,1,1,NA,542932,605119,2,3
"23616","FF",97.5,13,"L","R","ball","B",NA,1,0,NA,NA,NA,0,2
"23617","FF",88.3,12,"R","R","ball","B",NA,3,0,NA,663616,NA,1,4
"23618","FF",95.9,4,"L","R","foul","S",NA,0,1,NA,NA,NA,0,2
"23619","FS",85.7,3,"R","R","foul","S",NA,1,2,NA,NA,NA,1,4
"23620","FF",89.5,11,"L","R","ball","B",NA,0,1,NA,NA,663586,1,2
"23621","FF",92.8,7,"R","R","hit_into_play","X","line_drive",1,2,NA,NA,NA,1,4
"23622","FF",90.8,6,"R","L","hit_into_play","X","ground_ball",1,1,NA,NA,NA,2,3
"23623","FF",91.6,6,"R","R","called_strike","S",NA,0,0,NA,NA,NA,1,1
"23624","FC",94.7,6,"R","R","foul","S",NA,0,1,621566,NA,476704,1,2
"23625","FF",93.6,7,"R","R","foul","S",NA,1,0,476704,NA,621450,2,2
"23626","SL",82,14,"R","R","ball","B",NA,1,2,NA,NA,NA,0,5
"23627","FF",92.5,2,"L","R","foul","S",NA,2,2,NA,NA,649557,2,8
"23628","SL",84.7,5,"L","L","foul","S",NA,1,1,NA,NA,NA,0,3
"23629","FC",91.4,9,"R","R","called_strike","S",NA,0,0,NA,NA,NA,2,1
"23630","CH",88.9,14,"L","R","ball","B",NA,2,2,NA,NA,NA,0,5
"23631","SL",77,2,"L","L","called_strike","S",NA,0,0,668227,640457,NA,0,1
"23632","FF",93.9,14,"L","R","ball","B",NA,3,1,NA,NA,500743,1,5
"23633","SI",96.3,13,"R","R","ball","B",NA,0,0,NA,NA,NA,1,1
"23634","FC",85.2,3,"R","R","foul","S",NA,0,1,NA,NA,624413,1,2
"23635","FF",89.7,12,"L","R","ball","B",NA,0,0,NA,NA,NA,0,1
"23636","FF",93.2,11,"R","R","ball","B",NA,0,0,NA,NA,NA,2,1
"23637","FF",94.6,11,"L","R","swinging_strike","S",NA,3,1,NA,NA,596146,0,5
"23638","SL",88.3,13,"L","L","blocked_ball","B",NA,0,1,NA,NA,669257,0,2
"23639","CH",88.1,9,"L","R","called_strike","S",NA,0,0,NA,NA,NA,2,1
"23640","CH",83.8,13,"L","R","blocked_ball","B",NA,3,2,662139,NA,NA,2,6
"23641","FF",91.2,3,"R","L","swinging_strike","S",NA,0,0,NA,NA,542340,0,1
"23642","FF",92.8,1,"R","R","foul_bunt","S",NA,0,0,NA,NA,668663,0,1
"23643","SI",90.2,4,"R","R","hit_into_play","X","ground_ball",2,1,NA,NA,NA,0,4
"23644","KC",79.8,13,"L","R","ball","B",NA,0,1,NA,NA,NA,1,2
"23645","FF",92.1,6,"L","R","hit_into_play","X","popup",0,1,NA,NA,596129,2,2
"23646","FF",93.9,2,"R","R","hit_into_play","X","ground_ball",1,1,NA,NA,NA,0,3
"23647","CH",87.5,14,"R","L","ball","B",NA,1,2,660271,NA,NA,1,4
"23648","FF",90,13,"R","L","ball","B",NA,0,2,NA,NA,NA,0,3
"23649","SL",84.9,14,"R","R","swinging_strike","S",NA,1,2,NA,543939,NA,1,4
"23650","SL",84,14,"L","L","ball","B",NA,1,1,NA,444482,608348,1,3
"23651","CH",86,13,"L","R","ball","B",NA,1,2,NA,NA,643396,1,5
"23652","KC",76,11,"L","R","ball","B",NA,0,0,NA,592567,570256,2,1
"23653","FF",91.6,9,"R","R","called_strike","S",NA,1,1,NA,NA,NA,0,3
"23654","FF",92,11,"R","L","called_strike","S",NA,1,0,NA,NA,NA,0,2
"23655","SI",92,6,"L","R","hit_into_play","X","fly_ball",2,2,NA,NA,594809,2,6
"23656","CU",82.8,14,"L","R","ball","B",NA,1,0,NA,NA,NA,0,2
"23657","SL",86.9,9,"R","R","swinging_strike","S",NA,2,1,NA,NA,NA,0,4
"23658","SL",86.6,12,"R","R","ball","B",NA,2,1,NA,NA,NA,2,4
"23659","FF",88,9,"R","L","foul","S",NA,0,2,NA,NA,NA,1,3
"23660","CU",77.6,4,"L","R","called_strike","S",NA,0,0,NA,NA,NA,1,1
"23661","SI",93,11,"R","R","foul","S",NA,1,0,NA,NA,NA,1,2
"23662","CU",73.2,9,"R","L","hit_into_play","X","ground_ball",1,2,NA,NA,NA,0,4
"23663","FC",94,2,"L","R","hit_into_play","X","line_drive",2,2,NA,NA,NA,2,8
"23664","FF",92.9,11,"L","R","ball","B",NA,1,1,NA,NA,NA,1,3
"23665","CU",81.9,13,"L","R","ball","B",NA,0,0,545358,650859,642221,1,1
"23666","SI",92.4,14,"L","R","swinging_strike","S",NA,1,2,NA,NA,NA,2,4
"23667","SL",75.8,11,"L","R","ball","B",NA,2,0,NA,NA,NA,1,3
"23668","SI",97.8,11,"L","R","ball","B",NA,2,0,NA,NA,NA,1,3
"23669","SI",93.3,4,"R","R","foul","S",NA,0,2,NA,NA,NA,1,3
"23670","FF",95,13,"L","R","ball","B",NA,0,0,NA,NA,608671,2,1
"23671","SL",78.8,13,"L","R","ball","B",NA,1,0,NA,NA,592663,0,2
"23672","FA",77.2,11,"L","R","ball","B",NA,0,2,NA,NA,NA,0,3
"23673","FC",86.2,12,"R","L","ball","B",NA,1,2,NA,NA,NA,0,4
"23674","CH",83.8,14,"R","L","hit_into_play","X","ground_ball",0,1,NA,NA,571771,0,2
"23675","SL",88.2,5,"R","R","called_strike","S",NA,0,0,NA,NA,NA,2,1
"23676","CH",85.4,14,"L","R","ball","B",NA,1,1,NA,660162,606213,2,3
"23677","SL",81.9,14,"R","R","ball","B",NA,0,1,NA,NA,NA,0,2
"23678","FF",95.9,1,"L","R","swinging_strike","S",NA,3,1,NA,643396,NA,1,5
"23679","FF",93.5,3,"R","R","swinging_strike","S",NA,1,1,518792,592626,NA,2,3
"23680","SL",84.2,14,"R","R","ball","B",NA,1,2,NA,NA,NA,0,4
"23681","SL",83.9,14,"R","R","ball","B",NA,0,2,NA,NA,NA,2,3
"23682","FF",91.5,7,"L","R","called_strike","S",NA,0,0,NA,650333,593934,1,1
"23683","CH",85.9,8,"L","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"23684","CH",79.9,14,"L","R","ball","B",NA,0,1,NA,NA,NA,1,2
"23685","CU",74.2,13,"R","L","swinging_strike","S",NA,0,2,NA,NA,NA,0,3
"23686","SL",84.9,8,"L","L","swinging_strike","S",NA,0,0,NA,NA,NA,2,1
"23687","FC",91.3,11,"R","R","foul","S",NA,0,1,NA,NA,NA,0,2
"23688","SL",83.9,7,"R","L","swinging_strike","S",NA,1,2,NA,NA,NA,1,4
"23689","SI",92.8,14,"R","R","ball","B",NA,0,0,NA,NA,NA,2,1
"23690","CU",80.6,11,"L","R","ball","B",NA,2,2,NA,NA,NA,1,5
"23691","FF",94.7,7,"L","R","called_strike","S",NA,2,1,NA,NA,NA,2,4
"23692","FF",88.1,8,"R","L","foul","S",NA,0,0,NA,NA,NA,0,1
"23693","SL",89.1,7,"L","L","ball","B",NA,1,1,NA,650490,NA,2,3
"23694","SI",98,7,"R","R","called_strike","S",NA,0,0,NA,NA,NA,2,1
"23695","SL",89.4,14,"R","R","ball","B",NA,2,2,NA,NA,NA,0,5
"23696","FF",95.3,5,"R","R","hit_into_play","X","ground_ball",0,1,NA,NA,570482,2,2
"23697","FF",94.1,13,"R","R","ball","B",NA,1,1,NA,NA,543333,2,3
