"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
6,668904,"Lewis, Royce",6,100,1,1.5,1,2.5,1.494,1.268,0.871,2,2,93.1,25,2300,88.7,88.1,1,4,2,-0.6000000000000085,6.12,101,151,123,147,314,325,293,"-1.3","1.3",,
6,623168,"Heineman, Tyler",6,100,0,0,0,0,0.363,0.367,0.009,0,1,85.4,36,2133,90.2,89.42,0,4,2,-0.7999999999999972,5.78,105,143,106,148,309,325,289,"-0.3","0.3",48.424089840430405,"4.6274525"
6,676896,"Roller, Chris",6,100,0,0,,0,0,0,,0,1,,,2494,89.8,90.75,2,5,1,1,6.73,109,146,115,142,303,315,264,"0.7","-0.7",67.46969717009328,"7.112685"
6,668731,"Baddoo, Akil",6,100,1,2,1,3,1.619,0.611,0.66,1,1,101.3,8,1758,87,87.77,1,4,2,0.7999999999999972,6.83,121,149,133,153,292,330,303,"-0.9","0.9",72.00914666700206,"8.29872"
5,680716,"Ornelas, Jonathan",5,100,0,0,0,0,0,0.838,0.917,0,1,75.3,23,2279,90.5,89.62,0,2,3,-0.9000000000000057,6,115,146,122,143,295,321,294,"0.4","-0.4",74.33488647361426,"7.376825"
5,676070,"Amaya, Jacob",5,100,0,0,0,0,0,0.004,0.003,0,1,93.2,42,2069,85.4,85.52,0,2,3,0.09999999999999432,6.58,101,150,118,152,294,316,284,"0.4","-0.4",68.08774048220099,"6.77506"
4,543518,"McGough, Scott",4,100,0,0,,0,0,0,,0,1,,,2301,95,95.15,0,1,3,0.19999999999998863,6.5,105,153,119,149,267,289,254,"0.8","-0.8",56.729122958074555,"5.05055"
2,675915,"Bañuelos, David",2,100,0,0,0,0,0,0.005,0.006,0,1,87.3,56,2225,85,84.95,0,1,1,0,6.2,116,154,124,149,308,323,296,"0.1","-0.1",67.36154598333323,"7.47323"
2,693049,"Colás, Oscar",2,100,0,0,0,0,0,0.042,0.047,0,1,79.3,-14,1502,91.6,91.85,0,1,1,0.20000000000000284,6.4,123,148,104,143,287,307,278,"0.3","-0.3",73.97253551128635,"8.52813"
1,657088,"Wall, Forrest",1,100,0,0,0,0,0,0.424,0.465,0,1,96,0,1968,91.7,91.8,0,1,0,0.09999999999999432,6,127,150,128,152,297,325,308,"0.5","-0.5",73.58624225773293,"6.68633"
